Date,Mkt-RF,SMB,HML,RF,r15-r11,umd,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,Mach ,ElcEq,Autos,Aero ,Ships,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Comps,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other,1_2,1_4,1_5,1_6,1_7,1_8,1_9,1_high,2_low,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9,2_high,3_low,3_2,3_3,3_4,3_5,3_6,3_7,3_8,3_9,3_high,4_low,4_2,4_3,4_4,4_5,4_6,4_7,4_8,4_9,4_high,5_low,5_2,5_3,5_4,5_5,5_6,5_7,5_8,5_9,5_high,6_low,6_2,6_3,6_4,6_5,6_6,6_7,6_8,6_9,6_high,7_low,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,8_low,8_2,8_3,8_4,8_5,8_6,8_7,8_8,8_9,8_high,9_low,9_2,9_3,9_4,9_5,9_6,9_7,9_8,9_high,10_low,10_2,10_3,10_4,10_5,10_6,10_7,yield10y,yield1y,trm10y_1y,aaa,baa,DEF,rrel,trm10y_3m,PE
2000-01,-4.74,5.79,-1.89,0.41,-0.8579,1.7700000000000005,-4.5,-10.33,19.7,-2.28,-8.62,-13.81,3.76,-0.62,-6.51,-11.5,8.86,7.73,-9.33,-8.76,-7.65,-11.35,-7.62,-2.77,-0.46,-12.52,-0.59,-9.19,-10.73,-1.21,40.52,-1.39,6.06,-3.98,-8.58,-9.7,-3.27,1.04,9.23,-8.42,-13.15,-9.56,7.59,-14.51,-7.39,-2.55,-7.27,-0.69,-6.8,0.04,17.5268,15.0091,5.1515,5.7923,1.4527,9.2193,10.2212,7.6524,7.1939,2.2631,8.1949,-7.9366,5.9645,1.7338,0.8328,1.6956,-2.3013,1.8085,2.2852,0.4803,8.7094,-6.0967,-2.6837,-0.9605,9.0401,2.1245,-2.0476,-1.9492,-1.7138,0.4703,-7.699,-3.4699,-6.9179,-6.0144,-0.2552,-4.7733,-4.9427,-3.7854,-8.5366,-0.074,-4.057,-6.5131,-0.8854,-2.1252,1.3299,-5.5215,-4.4085,-10.7855,-3.0672,-0.7451,-5.5597,-5.1067,-5.1026,0.1993,-6.4229,-4.8093,-6.2985,-2.8266,-5.4782,-4.7235,-1.9807,-5.6234,-10.6824,0.9051,-1.8518,-3.211,-1.0865,-2.2138,-5.0159,-4.0546,-0.9815,-0.5724,-7.1466,-8.1629,-5.0646,-15.8699,-1.2503,3.1003,-6.0476,-7.6815,-9.7978,-6.4256,-1.3453,-2.6836,-12.8951,-11.2816,-6.422,-1.6258,-4.3622,-2.0086,-5.3681,-6.646,-8.236,,,,7.78,8.33,-0.5499999999999998,,,
2000-02,2.45,21.48,-9.81,0.43,-15.3951,23.81,8.16,-7.08,-8.28,-11.64,-4.01,0.42,-2.31,-0.61,-11.57,-12.73,6.58,-3.44,-7.25,6.11,-5.84,-7.77,1.53,6.84,8.98,-0.82,-8.21,-7.1,-5.82,-7.61,-3.45,-5.85,-7.26,-3.47,-9.76,7.72,23.1,27.28,20.92,-11.31,-12.6,-5.35,1.76,-3.93,-12.03,-11.3,-12.76,2.27,6.55,-2.15,30.6739,31.9813,20.9618,20.4489,40.7664,22.8057,22.5771,12.3487,43.7301,27.0272,51.903,41.7773,29.6939,10.9804,16.3733,22.054,6.4352,15.3745,37.4755,29.2868,14.2639,26.6672,4.1318,10.0924,5.5704,9.9452,20.3245,11.5027,28.1381,20.3241,3.8621,24.6282,0.3286,0.9975,13.4339,9.194,19.0747,2.75,15.5225,32.8811,28.6574,9.4339,4.2729,3.2779,3.3517,3.6978,-1.3052,0.9807,32.9266,8.5794,11.2928,0.143,-0.1163,1.8855,-3.7459,-3.7024,-0.078,-8.2349,40.2273,8.8791,-5.3115,-0.5586,-5.015,-0.7399,2.5468,26.0357,0.983,32.9602,9.114,9.8356,-1.3557,-10.3748,3.4662,-6.0875,-2.7089,-8.6529,1.9934,17.1717,15.8734,3.0715,-7.0457,-9.4045,-10.5372,-5.4266,-11.9662,-14.9993,-1.0276,-2.6188,-7.4748,-4.4593,-3.2546,-14.4132,-13.265,,,,7.68,8.29,-0.6099999999999994,,,
2000-03,5.2,-17.29,8.23,0.47,12.4885,-8.87,4.26,10.76,-0.29,0.13,5.11,7.69,10.7,13.12,-14.26,25.38,0.86,-0.53,12.16,-5.85,5.3,11.75,14.89,3.49,5.56,16.99,9.64,9.79,12.84,6.63,-7.24,13.74,5.77,7.52,8.85,2.66,5.25,4.22,1.33,8.15,12.43,12.87,7.03,14.38,15.98,15.04,22.87,3.28,14.71,-2.0,-9.6732,-13.6448,-6.8607,-7.7125,-13.1359,-8.8712,-6.3699,-2.0457,-13.3969,-16.7704,-13.5398,-26.2824,-18.7179,3.2086,-4.7183,-1.8756,4.3753,-4.676,-20.1898,-10.1527,-5.2951,-4.4591,2.847,-0.194,-1.5047,1.7408,-10.9823,12.6847,-14.1558,-8.2722,0.8905,-11.518,5.416,-0.3555,-6.6627,0.6587,-8.0222,5.507,-16.2791,-16.211,-17.4994,-1.1418,12.0849,2.1422,6.909,1.57,18.285,2.9128,-10.0478,-12.4325,6.3422,11.7996,12.0335,13.606,7.1891,11.8355,11.241,17.8443,-10.1624,10.3386,15.9031,14.1746,24.7848,14.8296,16.5399,-4.2971,15.7244,-6.412,6.1594,4.401,16.1087,15.3182,12.38,15.3917,9.7298,8.5749,14.7712,-0.2069,2.2313,12.2411,16.6676,12.7869,4.3388,11.5097,21.1967,15.7829,10.6119,8.6105,14.9652,7.4016,7.5321,18.1257,18.2407,6.26,6.22,0.040000000000000036,7.68,8.37,-0.6899999999999995,0.9675000000000002,0.5699999999999994,
2000-04,-6.4,-6.63,7.25,0.46,10.278500000000001,-6.34,-7.61,-4.08,-0.8,3.68,3.79,0.27,2.35,-7.54,4.29,4.3,1.09,5.73,-3.72,1.69,6.45,1.38,1.11,-0.84,5.31,0.56,11.81,4.44,13.34,-7.8,-15.33,-0.94,7.6,-7.87,-0.29,-16.64,-7.26,-5.65,-3.72,-0.61,-8.21,3.48,-2.6,-5.6,3.82,-2.85,-0.4,-3.71,-11.14,9.24,-26.3121,-19.1914,-16.3427,-7.2933,-19.1689,-13.741,-12.0038,-11.8733,-23.9762,-10.8811,-21.223,-8.0107,-12.6452,-6.1825,-6.7681,-3.2284,-2.841,-12.4398,-19.3012,-10.3637,-21.5589,-10.1814,-4.8888,-7.2165,-12.5231,-3.4069,-4.8302,-11.8186,-17.0211,-3.1818,-1.0284,-2.0692,0.3396,-7.7232,8.192,-0.2562,2.4887,1.3728,-12.1584,-14.4909,-2.4238,1.6243,-5.064,6.1777,-0.3667,9.465,1.4818,3.9852,-13.4456,0.9004,-4.4228,4.3418,-2.6255,-4.8284,3.4384,-1.844,2.3218,-9.0423,-6.8182,-6.9699,-3.3967,-4.6092,0.2184,-0.2465,7.8202,-2.7636,9.7849,-8.3509,-5.146,-2.1241,-5.2874,5.7881,2.357,1.4223,-1.7291,-4.1148,2.8377,-11.7806,-7.3791,1.634,-3.8624,4.0965,5.114,3.6043,5.3757,-3.2551,-4.3111,-1.0348,-3.3754,-2.4108,-4.0102,3.1631,2.0776,,,,7.64,8.4,-0.7600000000000007,,,
2000-05,-4.42,-6.11,4.83,0.5,2.6849000000000007,-12.76,-2.47,18.06,-7.24,11.87,19.51,1.15,1.26,-6.34,2.79,-5.04,-0.99,5.11,-0.1,-4.97,-3.23,-7.69,-4.1,-4.92,-10.34,0.4,-15.39,-0.82,0.69,0.99,-12.62,10.98,3.9,-10.43,-6.39,-8.93,-14.34,-9.55,-8.44,-1.34,-2.34,-3.63,1.3,-3.04,-4.21,7.95,7.31,-2.71,-6.81,10.45,-13.498,-12.6146,-11.6992,-8.5294,-8.242,-9.7018,-8.1011,-6.6787,-12.0765,-14.8213,1.4852,-11.6937,4.1153,-9.1311,-4.5603,-5.9962,-5.0232,-7.5115,-15.8839,-6.5186,-6.8766,-10.8986,-1.5516,-8.0876,-9.4651,-11.7994,-3.3906,-3.4273,-8.6024,-10.9183,-6.5188,0.8699,-3.0924,-6.352,-4.6143,-2.7685,1.7723,-0.1678,-5.8043,-2.4143,1.6228,-9.5115,-0.5363,2.4279,-5.958,-6.0386,5.7356,4.6059,-8.3052,-3.8129,-2.3765,-3.3464,1.7939,-8.6495,1.9567,7.1582,1.7109,-2.0451,-10.4281,0.5053,3.7138,-0.984,1.2292,0.6322,-9.8908,-3.3574,-3.5462,-8.0403,-7.4279,3.259,-5.2761,-0.6643,-0.2209,2.3604,2.1884,1.2902,-2.6253,-6.2688,-4.2404,-6.2281,3.9305,3.5915,5.0195,0.102,12.4954,5.7719,-3.177,-3.6884,-0.7022,-1.8505,3.8374,7.8152,0.7105,,,,7.99,8.9,-0.9100000000000001,,,
2000-06,4.64,12.8,-8.41,0.4,-9.174500000000002,18.37,-0.94,2.49,1.06,6.05,2.96,-1.68,0.29,-0.03,-2.53,-6.77,0.77,13.14,-6.49,2.97,-9.9,-1.77,-0.6,15.33,1.26,0.68,-12.14,-10.53,-8.57,-6.53,14.8,-6.36,-4.76,4.19,0.04,11.42,18.31,9.69,10.69,-5.64,-3.18,-1.95,-2.07,-2.14,-3.76,-9.88,-2.46,-1.06,14.51,2.3,13.7314,26.3988,16.9045,14.852,25.2504,16.6923,14.7979,6.0825,30.378,34.9012,22.4917,33.7006,27.936,12.1675,4.2002,23.5784,8.1192,11.4318,29.3432,7.0406,22.5052,9.3445,5.4748,3.9093,9.7574,3.8683,19.4274,1.738,20.9413,7.8225,4.1157,9.0978,-0.7472,1.2826,7.8491,-0.3844,14.0297,-1.0569,14.6508,14.1747,14.2112,0.7686,-1.5953,2.3895,3.6786,1.6498,-0.3916,6.2333,15.7873,13.773,-0.043,-6.4557,-0.6941,-0.3951,-4.3557,-0.6088,2.5713,3.4104,17.9244,4.8743,2.9864,1.4239,-8.8713,-1.8913,-4.8912,-1.1176,-8.2671,13.8436,2.301,5.9432,1.665,-3.1872,-4.5089,-1.7641,-4.0644,-5.0522,1.9788,10.9634,9.5449,1.0679,-12.1874,-5.5505,-5.9489,-6.4036,-4.0509,0.7084,7.6078,-3.8316,-5.2582,-2.9867,-6.1184,-7.7398,-10.0295,6.1,6.17,-0.07000000000000028,7.67,8.48,-0.8100000000000005,1.8356250000000003,0.40999999999999925,
2000-07,-2.51,-3.08,8.33,0.48,9.0905,1.4399999999999995,-3.09,-1.59,13.2,6.57,-4.47,-10.03,-0.7,-1.12,-2.64,5.98,1.28,-7.89,-0.04,0.83,4.83,-3.04,-2.02,-6.0,-6.12,-0.26,4.6,6.93,7.65,-0.14,11.38,-2.58,4.43,-7.36,4.61,-7.95,-0.05,-5.3,-12.94,4.92,-0.02,6.6,4.02,-2.09,-1.96,8.4,10.33,3.05,8.3,-1.64,-9.5208,-0.3439,0.5047,-0.435,-0.3361,1.4949,0.788,0.2635,-10.9263,-5.3311,1.6778,-3.0234,1.2365,1.1454,2.4262,1.4866,1.9634,3.1278,-4.3736,-4.8184,-2.7314,-2.353,2.2073,1.049,0.5549,3.2394,3.9959,0.4902,-11.8166,-5.2143,-2.2638,0.6959,0.7648,2.6142,4.3739,-3.1526,1.1734,-11.8134,-12.7632,-5.2516,0.3214,0.6248,0.0344,6.3349,1.134,5.4297,8.2858,1.8455,-11.2314,-7.3935,-4.8324,1.6466,3.8345,6.4274,2.8926,0.2687,7.0187,11.3286,-8.6976,-8.6988,-2.612,0.335,1.5519,6.6928,-0.2155,-0.7636,3.0356,-7.6972,-2.9808,-3.137,2.2887,2.3138,5.6357,5.6663,2.01,3.4145,-4.9919,-8.3662,-0.9008,4.2662,2.6891,1.4626,1.9655,7.979,7.4721,1.7629,-4.3049,1.8418,-0.9054,2.1639,6.4473,7.305,2.5649,,,,7.65,8.35,-0.6999999999999993,,,
2000-08,7.03,-0.63,-1.37,0.5,-2.0938,6.919999999999999,-1.94,-2.71,-2.22,-10.84,19.12,2.11,5.93,2.52,3.5,2.53,6.78,2.9,1.87,0.67,-3.68,3.44,14.9,24.57,8.82,6.93,4.97,10.26,10.0,5.54,17.76,8.71,11.73,-1.04,10.95,10.74,13.0,12.2,19.12,2.06,1.58,-3.57,10.37,-5.26,-0.69,10.21,4.26,0.07,19.35,13.65,4.0476,3.7781,4.4083,2.5812,3.6064,3.7162,5.2485,2.1977,13.3709,9.9018,13.9643,9.4842,4.532,3.3421,6.952,6.9331,8.7402,5.7498,7.4897,7.0385,2.2315,6.559,3.9835,2.9107,7.3737,4.8114,7.8375,0.637,8.0077,9.3781,4.5245,5.0826,3.9685,3.8515,5.4488,9.2975,7.2139,15.3708,7.7445,12.6713,11.5895,10.5746,1.931,7.7915,5.8019,10.1139,9.9995,-5.4439,7.8511,5.8875,11.589,7.2455,8.462,5.3062,5.505,6.3611,10.6712,2.2119,11.0314,12.0332,7.9176,6.1156,4.781,5.6766,6.4066,4.9454,5.8224,16.5128,14.6682,4.5511,6.0409,7.185,6.7013,5.8855,9.6947,5.9857,11.0376,12.5774,10.0997,4.9271,5.3536,7.4854,13.8628,5.2677,7.094,6.3912,7.417,6.1085,6.4171,6.8289,11.5328,11.1576,4.7308,,,,7.55,8.26,-0.71,,,
2000-09,-5.45,-1.73,7.17,0.51,6.8559,0.7100000000000009,4.87,5.84,-9.71,5.46,0.87,0.06,-8.75,-0.49,-1.75,-1.23,-1.54,4.17,-4.77,-10.7,5.55,-3.85,-2.4,-12.11,-16.29,-10.73,-5.02,8.29,0.93,-5.23,-13.72,4.61,9.63,-4.02,-1.88,-9.23,-11.72,-24.18,-9.03,-5.27,-11.92,-1.31,4.1,2.55,1.58,3.79,6.94,-1.36,-7.44,-1.24,-10.4032,-2.3286,-2.9227,-2.7173,-0.8041,0.4318,-1.6303,0.2581,-12.1273,-8.8363,2.5471,-3.1387,-0.1911,-4.6084,-1.8349,0.3069,0.2595,-2.0248,-4.3103,-6.8753,-11.3108,0.139,-2.6086,3.3136,-2.6357,1.1666,0.6142,-5.6724,-3.9274,-2.1632,-6.2523,2.2819,-2.4595,1.6607,-4.2022,-0.9202,-0.5785,-8.2394,-15.0388,-3.553,-3.0619,-2.6593,-3.6012,3.1374,5.6257,1.8023,-1.1125,2.8443,-10.5961,-9.0853,-1.0716,-5.6561,-2.7934,3.598,1.6289,1.2899,2.9689,5.2296,-8.9183,-5.4618,-2.8555,-1.8115,-0.9757,-1.6816,3.6037,-0.5676,-0.4326,-11.3805,-10.9367,1.3356,-1.0299,2.3675,-3.0798,1.2516,3.5026,-2.9324,5.692,-3.6313,-1.4559,1.3587,-4.6616,3.6247,5.0083,11.6471,0.013,-0.4564,-8.3951,-0.8572,-3.0073,-0.9026,0.9287,8.2548,11.2101,5.8,6.13,-0.33000000000000007,7.62,8.35,-0.7299999999999995,2.82921875,-0.20000000000000018,
2000-10,-2.76,-3.93,5.64,0.56,6.6709,0.6799999999999997,-10.98,6.19,13.14,8.99,22.87,6.62,-5.79,-1.3,9.98,4.27,-1.17,2.96,4.9,-13.26,-3.06,6.69,4.4,-12.04,-4.5,-10.54,2.19,14.33,12.82,2.21,7.16,-2.91,-2.25,-0.35,-4.02,-7.03,-5.79,-7.59,-5.66,11.49,0.7,7.69,-3.21,-1.73,4.32,-1.09,4.87,0.18,-5.77,-5.31,-10.4293,-7.766,-4.3463,-5.2147,-4.2092,-4.9261,-4.5865,-6.4545,-16.6009,-3.8893,-12.1194,-9.9424,-2.4425,-2.2147,-3.5539,-6.9081,-3.4156,-3.3626,-10.5958,-3.244,-3.3551,-3.1392,-2.0408,1.484,-1.4735,-0.9669,-2.0769,-0.1293,-14.7092,-3.9767,-1.4697,4.6317,-4.4286,0.8738,-0.7316,1.5042,-2.9395,1.4802,-12.8696,-3.0107,-2.3865,1.3611,1.4205,2.0836,-5.2512,3.7776,-0.4724,14.0699,-16.057,-5.374,-3.4484,-0.3883,-0.455,-1.8861,-0.9212,-0.2642,0.6733,6.5789,-5.8751,-4.4941,2.2863,0.5611,-2.122,-0.9348,6.0108,-4.0674,1.1452,-6.9391,-3.7361,1.2914,5.6972,3.7716,4.5226,-3.0104,-5.0419,0.1,20.2748,-7.3664,-1.1091,4.7673,3.3708,1.9155,0.3425,1.8273,3.9292,1.9208,-3.1241,1.61,-0.2253,5.7832,-8.326,0.6636,-0.7792,,,,7.55,8.34,-0.79,,,
