Date,Price,Open,High,Low,Change %
"Dec 31, 2020","1,896.49","1,893.55","1,901.26","1,884.77",0.16%
"Dec 30, 2020","1,893.37","1,878.34","1,894.06","1,875.66",0.82%
"Dec 29, 2020","1,877.99","1,872.24","1,886.91","1,870.99",0.36%
"Dec 28, 2020","1,871.19","1,885.93","1,900.53","1,869.21",-0.25%
"Dec 25, 2020","1,875.82","1,877.07","1,877.07","1,877.07",-0.04%
"Dec 24, 2020","1,876.56","1,872.74","1,882.55","1,869.52",0.24%
"Dec 23, 2020","1,872.08","1,859.99","1,878.59","1,858.59",0.67%
"Dec 22, 2020","1,859.56","1,876.65","1,884.61","1,858.73",-0.89%
"Dec 21, 2020","1,876.21","1,883.20","1,906.93","1,856.69",-0.24%
"Dec 18, 2020","1,880.66","1,885.80","1,889.88","1,876.97",-0.28%
"Dec 17, 2020","1,885.87","1,864.26","1,896.26","1,861.83",1.17%
"Dec 16, 2020","1,864.15","1,853.94","1,866.20","1,844.75",0.58%
"Dec 15, 2020","1,853.46","1,827.80","1,855.76","1,825.29",1.44%
"Dec 14, 2020","1,827.17","1,839.30","1,839.86","1,819.92",-0.64%
"Dec 11, 2020","1,839.03","1,835.55","1,847.89","1,824.23",0.20%
"Dec 10, 2020","1,835.31","1,839.59","1,850.40","1,828.48",-0.21%
"Dec 09, 2020","1,839.11","1,871.19","1,871.37","1,825.71",-1.72%
"Dec 08, 2020","1,871.36","1,863.55","1,875.79","1,859.83",0.41%
"Dec 07, 2020","1,863.69","1,837.99","1,868.76","1,822.99",1.42%
"Dec 04, 2020","1,837.61","1,841.05","1,848.26","1,829.30",-0.15%
"Dec 03, 2020","1,840.36","1,831.34","1,844.45","1,823.60",0.51%
"Dec 02, 2020","1,831.01","1,815.19","1,832.65","1,806.99",0.89%
"Dec 01, 2020","1,814.87","1,777.40","1,817.55","1,775.52",2.13%
"Nov 30, 2020","1,777.02","1,789.05","1,789.99","1,764.69",-0.62%
"Nov 27, 2020","1,788.13","1,811.09","1,813.81","1,773.93",-1.24%
"Nov 26, 2020","1,810.57","1,805.74","1,818.78","1,805.31",0.29%
"Nov 25, 2020","1,805.30","1,807.69","1,817.98","1,801.33",-0.12%
"Nov 24, 2020","1,807.51","1,836.65","1,839.26","1,800.69",-1.54%
"Nov 23, 2020","1,835.85","1,869.84","1,876.72","1,830.85",-1.85%
"Nov 20, 2020","1,870.49","1,867.59","1,879.98","1,860.66",0.17%
"Nov 19, 2020","1,867.37","1,871.44","1,874.34","1,852.48",-0.22%
"Nov 18, 2020","1,871.41","1,878.60","1,884.92","1,863.94",-0.38%
