,ticker,permno
0,A,87432.0
1,AA,24643.0
2,AAP,89217.0
3,AAPL,14593.0
4,ABBV,13721.0
5,ABD,75107.0
6,ABS,50032.0
7,ABT,20482.0
8,ABUD,59184.0
9,ABXFF,71298.0
10,ACAS,85271.0
11,ACCOB,59248.0
12,ACK,19692.0
13,ACN,89071.0
14,ACSA,80913.0
15,ADCO,11042.0
16,ADM,10516.0
17,ADNT,16342.0
18,ADS,89002.0
19,ADSK,85631.0
20,AEP,24109.0
21,AESC,76712.0
22,AET,46850.0
23,AEXP,59176.0
24,AFI,10604.0
25,AFL,57904.0
26,AFNL,71686.0
27,AFS,83440.0
28,AGAS,63765.0
29,AGC,48397.0
30,AGO,29102.0
31,AGREA,13056.0
32,AIGR,66800.0
33,AIZ,90038.0
34,AJG,38093.0
35,AKAM,87299.0
36,AKS,80303.0
37,ALGN,88860.0
38,ALK,28804.0
39,ALLE,14297.0
40,ALTR,75577.0
41,ALXN,83111.0
42,AMAT,14702.0
43,AMB,10225.0
44,AMCR,18724.0
45,AMDV,61241.0
46,AME,85257.0
47,AMG,85593.0
48,AMGN,14008.0
49,AMR,21020.0
50,AMSGA,85675.0
51,AMZN,84788.0
52,AN,76282.0
53,ANDW,14323.0
54,ANLG,60871.0
55,ANR,90547.0
56,ANSS,83621.0
57,ANTM,89179.0
58,AON,61735.0
59,APA,39490.0
60,APCC,11970.0
61,APD,28222.0
62,APOLA,81138.0
63,ARG,70308.0
64,ASD,81285.0
65,ASH,24272.0
66,ASHC,81540.0
67,ASN,48514.0
68,ASQ,62770.0
69,ATG,15553.0
70,ATI,43123.0
71,ATVI,79678.0
72,AV,88587.0
73,AVGO,93002.0
74,AVP,40416.0
75,AVY,44601.0
76,AWIN,76887.0
77,AYI,89216.0
78,AYP,10137.0
79,AZA,64856.0
80,AZO,76605.0
81,AZP,27991.0
82,BA,19561.0
83,BAC,59408.0
84,BARL,11415.0
85,BAX,27887.0
86,BBBY,77659.0
87,BBT,71563.0
88,BBWI,64282.0
89,BBY,85914.0
90,BC,10874.0
91,BCMP,52230.0
92,BCR,46877.0
93,BDK,20220.0
94,BDX,39642.0
95,BFO,10989.0
96,BGE,24221.0
97,BGENF,11983.0
98,BGG,17961.0
99,BGH,10890.0
100,BHF,16816.0
101,BHI,75034.0
102,BIIB,76841.0
103,BIO,61516.0
104,BIVV,16544.0
105,BJS,76240.0
106,BK,49656.0
107,BKLY,17743.0
108,BLK,87267.0
109,BLKR,62519.0
110,BLL,57568.0
111,BLS,65883.0
112,BMCS,11976.0
113,BMET,18092.0
114,BMS,43772.0
115,BMY,19393.0
116,BNI,50227.0
117,BOL,26518.0
118,BPR,79129.0
119,BR,91849.0
120,BRCM,85963.0
121,BS,10786.0
122,BSX,77605.0
123,BTU,88991.0
124,BVSN,83630.0
125,BWA,79545.0
126,BXLT,15401.0
127,BXP,85058.0
128,BYA,80381.0
129,C,70519.0
130,CAM,81857.0
131,CARR,19285.0
132,CAT,18542.0
133,CB,59192.0
134,CBE,21979.0
135,CBOE,93429.0
136,CBRE,90199.0
137,CBS,15368.0
138,CBSS,22032.0
139,CCI,86339.0
140,CCII,64565.0
141,CCK,17726.0
142,CCL,75154.0
143,CDA,38914.0
144,CDIC,21371.0
145,CDNC,11403.0
146,CDW,13949.0
147,CEFT,26332.0
148,CELG,11552.0
149,CEPH,76625.0
150,CERN,10909.0
151,CG,11340.0
152,CGP,38893.0
153,CHIR,23318.0
154,CHK,78877.0
155,CHRW,85459.0
156,CHTR,12308.0
157,CHX,17783.0
158,CIEN,84519.0
159,CIN,22947.0
160,CINF,23473.0
161,CIT,89463.0
162,CL,18729.0
163,CLCH,24046.0
164,CLF,27422.0
165,CLX,46578.0
166,CMCSK,11997.0
167,CME,89626.0
168,CMS,23229.0
169,CMVT,10942.0
170,CMZ,22680.0
171,CNAG,56274.0
172,CNC,86976.0
173,CNG,21821.0
174,CNTE,89269.0
175,CNX,86799.0
176,CNXT,86496.0
177,COC,87029.0
178,COF,81055.0
179,COFI,10725.0
180,COH,88661.0
181,COL,76171.0
182,COO,65541.0
183,COTY,13983.0
184,CPB,25320.0
185,CPGX,15404.0
186,CPN,83981.0
187,CPQ,68347.0
188,CPRI,13142.0
189,CR,20204.0
190,CRCH,23393.0
191,CRM,90215.0
192,CSC,40125.0
193,CSRA,15797.0
194,CSX,62148.0
195,CTAS,23660.0
196,CTB,27430.0
197,CTLT,14763.0
198,CTSH,86158.0
199,CTVA,18592.0
200,CTXS,82686.0
201,CUCD,25487.0
202,CUM,41080.0
203,CVC,68857.0
204,CVET,18327.0
205,CVG,86305.0
206,CVS,17005.0
207,CVTY,76619.0
208,CWE,20853.0
209,CXO,92239.0
210,CZT,84020.0
211,DAL,26112.0
212,DBKT,25081.0
213,DCN,11607.0
214,DD,11703.0
215,DDS,49429.0
216,DE,19350.0
217,DELL,11081.0
218,DFS,92121.0
219,DGX,84373.0
220,DHR,49680.0
221,DIS,26403.0
222,DISCA,90805.0
223,DISCK,92778.0
224,DISH,81696.0
225,DJ,58990.0
226,DLPH,13103.0
227,DLR,90373.0
228,DLTR,81481.0
229,DLX,61743.0
230,DNB,88590.0
231,DNR,82196.0
232,DNY,38682.0
233,DOLR,30382.0
234,DOV,25953.0
235,DOW,20626.0
236,DPH,86591.0
237,DPZ,90248.0
238,DRHI,77661.0
239,DTE,11674.0
240,DTV,89954.0
241,DUK,27959.0
242,DV,76708.0
243,DVA,82307.0
244,DVMT,16267.0
245,DWDP,16851.0
246,DXCM,90664.0
247,EA,75828.0
248,EC,62834.0
249,ED,11404.0
250,EDS,83596.0
251,EFX,52476.0
252,EGRP,83862.0
253,EHC,10693.0
254,EIX,15720.0
255,EK,11754.0
256,EL,82642.0
257,EMCS,10147.0
258,EMN,80080.0
259,EMR,22103.0
260,ENDP,88436.0
261,EOG,75825.0
262,EOP,85238.0
263,EPG,77481.0
264,EQIX,89617.0
265,EQR,79547.0
266,EQT,24328.0
267,ESRX,77668.0
268,ESS,80681.0
269,ESV,93159.0
270,ETN,11762.0
271,ETR,24010.0
272,ETS,75625.0
273,ETSY,15291.0
274,EVRG,24053.0
275,EW,87657.0
276,EXPD,87717.0
277,EXPE,90808.0
278,F,25785.0
279,FANG,13641.0
280,FAST,11618.0
281,FBHS,12981.0
282,FCMB,64995.0
283,FCPT,15719.0
284,FDC,77546.0
285,FDO,53866.0
286,FDP,22496.0
287,FDX,60628.0
288,FEMP,35554.0
289,FFIV,86964.0
290,FHI,86102.0
291,FIS,89003.0
292,FISV,10696.0
293,FITB,34746.0
294,FJ,61583.0
295,FL,15456.0
296,FLE,46295.0
297,FLIR,79265.0
298,FLR,88853.0
299,FLS,30940.0
300,FMC,19166.0
301,FNAC,36127.0
302,FNG,47159.0
303,FNM,51043.0
304,FON,39087.0
305,FOSL,79089.0
306,FOXA,90441.0
307,FRC,12448.0
308,FRRI,37584.0
309,FRT,58413.0
310,FRX,45241.0
311,FSH,77150.0
312,FSLR,91611.0
313,FTEN,36397.0
314,FTNT,93132.0
315,FTV,16087.0
316,FUNC,36469.0
317,FWC,18112.0
318,GAP,26657.0
319,GART,79698.0
320,GBLX,86326.0
321,GCI,47941.0
322,GD,12052.0
323,GDT,81126.0
324,GDW,53479.0
325,GE,12060.0
326,GENZ,10324.0
327,GILD,77274.0
328,GIS,17144.0
329,GLW,22293.0
330,GM,12369.0
331,GMCR,79588.0
332,GNW,90162.0
333,GOOG,14542.0
334,GOOGL,90319.0
335,GPN,88873.0
336,GPS,59010.0
337,GPU,22541.0
338,GR,12140.0
339,GRMN,88837.0
340,GS,86868.0
341,GT,16432.0
342,GTW,79973.0
343,GWW,52695.0
344,GXP,23915.0
345,HAL,23819.0
346,HAR,75224.0
347,HAS,52978.0
348,HBAN,42906.0
349,HBI,91416.0
350,HCBK,87070.0
351,HCFDS,65947.0
352,HCR,77063.0
353,HD,66181.0
354,HET,76090.0
355,HLT,23309.0
356,HM,12319.0
357,HMAIA,76565.0
