No.,Paper no.,Feature name,Feature definition,Category,Data source,Frequency,Formula,Comments (Referenced in other papers),,,,,,,,,,,,,,,,,
1,1,absacc,Absolute value of acc,Stock-level variable,Compustat,Annual,abs(acc),,,,,,,,,,,,,,,,,,
2,1,acc,Annual income before extraordinary items (ib) minus operating cash flows (oancf) divided by average total assets (at); if oancf is missing then set to change in act - change in che - change in lct + change in dlc + change in txp-dp,Stock-level variable,Compustat,Annual,(ib-oancf) / ((at+lag(at))/2); if missing(oancf) then acc=((act-lag(act) - (che-lag(che))) - ((lct-lag(lct))-(dlc-lag(dlc))-(txp-lag(txp))-dp))/((at+lag(at))/2);,,,,,,,,,,,,,,,,,,
3,1,aeavol,Average daily trading volume (vol) for 3 days around earnings announcement minus average daily volume for 1-month ending 2 weeks before earnings announcement divided by 1-month average daily volume. Earnings announcement day from Compustat quarterly (rdq),Stock-level variable,Compustat+CRSP,Quarterly,(mean(vol)-avgvol)/avgvol,,,,,,,,,,,,,,,,,,
4,1,age,Number of years since first Compustat coverage,Stock-level variable,Compustat,Annual,count,,,,,,,,,,,,,,,,,,
5,1,agr,Annual percent change in total assets (at),Stock-level variable,Compustat,Annual,(at/lag(at)) - 1,,,,,,,,,,,,,,,,,,
6,1,baspread,Monthly average of daily bid-ask spread divided by average of daily spread,Stock-level variable,CRSP,Monthly,mean((askhi-bidlo)/((askhi+bidlo)/2)),,,,,,,,,,,,,,,,,,
7,1,beta,Estimated market beta from weekly returns and equal weighted market returns for 3 years ending month t-1 with at least 52 weeks of returns,Stock-level variable,CRSP,Monthly,"wkret=exp(sum(log(1+(ret))))-1
ewret=mean(wkret)
ewmkt=ewret
beta=ewmkt",,,,,,,,,,,,,,,,,,
8,1,betasq,Market beta squared,Stock-level variable,CRSP,Monthly,beta^2,,,,,,,,,,,,,,,,,,
9,1,bm,Book value of equity (ceq) divided by end of fiscal year-end market capitalization,Stock-level variable,Compustat+CRSP,Annual,ceq/mve_f,,,,,,,,,,,,,,,,,,
10,1,bm_ia,Industry adjusted book-to-market ratio,Stock-level variable,Compustat+CRSP,Annual,bm-mean(bm),,,,,,,,,,,,,,,,,,
11,1,cash,Cash and cash equivalents divided by average total assets,Stock-level variable,Compustat,Quarterly,cheq/atq,,,,,,,,,,,,,,,,,,
12,1,cashdebt,Earnings before depreciation and extraordinary items (ib+dp) divided by avg. total liabilities (lt),Stock-level variable,Compustat,Annual,(ib+dp)/((lt+lag(lt))/2),,,,,,,,,,,,,,,,,,
13,1,cashpr,Fiscal year-end market capitalization plus long-term debt (dltt) minus total assets (at) divided by cash and equivalents (che),Stock-level variable,Compustat,Annual,((mve_f+dltt-at)/che),,,,,,,,,,,,,,,,,,
14,1,cfp,Operating cash flows divided by fiscal-year-end market capitalization,Stock-level variable,Compustat,Annual,"(ib-( (act-lag(act) - (che-lag(che))) - ( (lct-lag(lct))-(dlc-lag(dlc))-(txp-lag(txp))-dp ) ))/mve_f;
if not missing(oancf) then cfp=oancf/mve_f",,,,,,,,,,,,,,,,,,
15,1,cfp_ia,Industry adjusted cfp,Stock-level variable,Compustat,Annual,cfp-mean(cfp),,,,,,,,,,,,,,,,,,
16,1,chatoia,2-digit SIC - fiscal-year mean-adjusted change in sales (sale) divided by average total assets (at),Stock-level variable,Compustat,Annual,chato-mean(chato),,,,,,,,,,,,,,,,,,
17,1,chcsho,Annual percent change in shares outstanding (csho),Stock-level variable,Compustat,Annual,(csho/lag(csho))-1,,,,,,,,,,,,,,,,,,
18,1,chempia,Industry-adjusted change in number of employees,Stock-level variable,Compustat,Annual,hire-mean(hire),,,,,,,,,,,,,,,,,,
19,1,chinv,Change in inventory (inv) scaled by average total assets (at),Stock-level variable,Compustat,Annual,(invt-lag(invt))/((at+lag(at))/2),,,,,,,,,,,,,,,,,,
20,1,chmom,Cumulative returns from months t-6 to t-1 minus months t-12 to t-7,Stock-level variable,CRSP,Monthly,"( (1+lag(ret))*(1+lag2(ret))*(1+lag3(ret))*(1+lag4(ret))*(1+lag5(ret))*(1+lag6(ret)) ) - 1 
- (( (1+lag7(ret))*(1+lag8(ret))*(1+lag9(ret))*(1+lag10(ret))*(1+lag11(ret))*(1+lag12(ret)) ) - 1)",,,,,,,,,,,,,,,,,,
21,1,chpmia,2-digit SIC - fiscal-year mean adjusted change in income before extraordinary items (ib) divided by sales (sale),Stock-level variable,Compustat,Annual,chpm-mean(chpm),,,,,,,,,,,,,,,,,,
