Date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,ME1 BM5,ME1 BM6,ME1 BM7,ME1 BM8,ME1 BM9,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME2 BM6,ME2 BM7,ME2 BM8,ME2 BM9,ME2 BM10,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME3 BM6,ME3 BM7,ME3 BM8,ME3 BM9,ME3 BM10,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,ME4 BM6,ME4 BM7,ME4 BM8,ME4 BM9,ME4 BM10,ME5 BM1,ME5 BM2,ME5 BM3,ME5 BM4,ME5 BM5,ME5 BM6,ME5 BM7,ME5 BM8,ME5 BM9,ME5 BM10,ME6 BM1,ME6 BM2,ME6 BM3,ME6 BM4,ME6 BM5,ME6 BM6,ME6 BM7,ME6 BM8,ME6 BM9,ME6 BM10,ME7 BM1,ME7 BM2,ME7 BM3,ME7 BM4,ME7 BM5,ME7 BM6,ME7 BM7,ME7 BM8,ME7 BM9,ME7 BM10,ME8 BM1,ME8 BM2,ME8 BM3,ME8 BM4,ME8 BM5,ME8 BM6,ME8 BM7,ME8 BM8,ME8 BM9,ME8 BM10,ME9 BM1,ME9 BM2,ME9 BM3,ME9 BM4,ME9 BM5,ME9 BM6,ME9 BM7,ME9 BM8,ME9 BM9,ME9 BM10,BIG LoBM,ME10 BM2,ME10 BM3,ME10 BM4,ME10 BM5,ME10 BM6,ME10 BM7,ME10 BM8,ME10 BM9,BIG HiBM
192607,-99.99,12.3656,-99.99,-20.6349,-6.4864,-4.7429,-4.8812,15.7276,-1.6398,-2.447,6.2133,-6.148,-21.9512,9.484,-99.99,-0.554,0.7712,-3.2909,-3.2603,14.593,0,3.2699,4.4284,-0.1284,-0.8913,-99.99,-1.8286,-4.5665,-4.6103,-0.3,-0.3358,1.3713,4.586,-99.99,-0.2891,3.2842,-0.8748,-3.9826,-0.5026,5.2179,7.2196,-4.8072,1.1801,2.5257,-5.4291,8.9123,1.1938,1.4976,0.9107,-3.9427,2.4868,4.1679,1.4387,8.8176,2.5164,-2.8215,0.1603,10.842,-0.7369,-2.5705,1.4644,-0.2184,-0.4597,0.758,4.1324,5.0852,0.9516,-0.99,3.6405,6.6667,1.7068,2.0347,0.9054,3.1837,-0.3353,0.5929,-0.7027,1.8257,6.1785,-7.0707,8.6622,1.4838,2.5728,1.734,0.9794,0.6471,5.8094,1.2732,0.2578,-99.99,3.8287,1.182,19.0161,1.4227,1.9459,2.4834,3.1644,0.3378,0.8576,-99.99
192608,-99.99,2.9904,-99.99,8,6.7495,-3.5639,-4.1188,-1.6529,-5.3824,9.6015,-3.8814,0.9402,-1.7857,-11.7706,-99.99,3.6885,-1.8272,4.7806,4.9269,16.881,9.0909,-4.6449,-2.86,-3.061,5.5264,-99.99,-1.9842,0.6204,6.2385,-1.2011,2.1995,5.9838,1.5456,-99.99,0.9828,8.1389,-3.8629,5.7688,17.2964,7.3463,0,-0.6989,0.592,2.6684,4.3619,2.2181,2.178,3.5842,6.7684,-8.209,-0.7572,-1.9423,5.3918,-0.2244,4.8037,0.1177,5.5088,4.7061,16.5042,4.6858,1.7406,0.4258,5.6723,1.434,2.6647,-1.5868,-4.0697,5.6221,7.2931,7.1875,1.1034,1.6494,4.0947,3.3543,0.8871,4.4213,1.8805,7.2365,9.9138,-6.5217,0.6715,-2.1657,2.4983,0.2914,3.1465,1.0183,3.3038,2.9936,4.161,-99.99,-0.0799,3.9628,8.5675,3.0099,1.1427,3.0263,6.0936,6.0606,11.2245,-99.99
192609,-99.99,-18.583,-99.99,-3.7037,-5.0512,-2.1739,-4.5714,-10.61,0.4919,7.7448,-3.2288,-9.9392,-18.1818,5.161,-99.99,-7.4211,-0.699,1.3569,-2.5761,-0.1202,0,-7.7301,-1.0152,1.336,0.2085,-99.99,2.7735,-0.9126,-7.7273,-1.4363,3.1661,-4.7014,-4.0766,-99.99,0.6955,2.5148,-3.9363,-5.8296,13.8454,1.3062,-2.6032,-4.8293,-1.2554,1.1797,-1.5038,-0.0561,0.1534,7.4588,-9.0932,-0.813,2.261,0.0357,0.2465,1.8412,-1.7552,-3.4737,3.6339,-1.0069,0.008,-3.7689,-3.7626,-3.3623,-2.6256,2.9629,-3.3528,-1.0843,2.4704,2.7003,-2.9263,-2.9155,6.1392,-0.2671,-1.5888,0.3785,-1.1261,-1.2417,1.884,-0.8549,5.4902,10.0775,-1.0887,-4.2981,0.254,0.2092,0.2164,0.0701,-2.3225,0.0998,-3.9329,-99.99,-0.3054,-1.9836,10.7849,0.8073,-0.9185,1.0889,-0.5436,-0.9524,-1.0703,-99.99
192610,-99.99,-4.1369,-99.99,-11.5385,-5.3996,-17.7778,3.5554,-9.2233,-9.1593,-1.7461,-12.2657,1.6526,-0.5682,-3.8,-99.99,-2.246,0.4524,14.9297,-5.9461,2.3476,-8.3333,-7.1247,5.0883,-2.1933,1.3107,-99.99,-5.8225,-13.5563,-1.775,-5.9711,-0.3711,-1.8877,-7.6806,-99.99,-3.0239,-13.9753,-10.0353,-5.127,15.6581,-5.4822,-1.7152,-5.6603,-3.7343,-3.8842,-2.3652,-1.7738,-5.0299,-4.0211,-4.9226,33.6066,-3.992,-8.4624,-1.4538,1.2373,2.2984,1.367,-1.9207,0.4865,-7.4346,-3.0871,-0.1806,-1.6883,-3.0921,-0.114,-2.6638,-1.1327,-3.6147,-4.2995,-9.6829,-9.6096,-5.7601,-2.597,-0.791,-3.9582,-1.4841,-2.4644,-2.5735,-2.6206,-3.9033,8.0986,-2.6651,-2.9408,-2.0171,-3.5704,-7.1391,-2.5102,-2.7883,-5.1432,-7.9336,-99.99,-4.058,-0.648,-6.6205,-0.5337,-1.5745,-1.9202,-5.3535,-0.9615,-3.9246,-99.99
192611,-99.99,-8.2589,-99.99,34.7826,1.2296,0.2027,-4.8789,-3.201,-1.8459,-2.5421,8.6111,-6.9268,-14.2857,9.2242,-99.99,2.8805,-10.2423,-1.1628,4.6715,-0.4082,9.0909,-11.0624,-1.3834,-7.8473,3.3023,-99.99,-8.0027,17.4362,1.4208,-0.2638,8.0437,5.2725,3.625,-99.99,3.4817,1.8242,8.0026,3.4692,-4.097,9.8657,6.5592,2.2618,3.4694,7.5853,3.6202,-1.8774,13.3328,2.8836,2.5899,-16.5644,1.5527,-0.396,3.336,3.6326,4.9476,-1.9048,5.1603,2.917,8.2634,4.2034,-1.4777,0.1256,0.5162,5.3097,3.8174,1.8673,10.159,12.6109,1.2849,1.6611,3.5082,5.572,2.3653,2.7008,5.0082,3.6744,1.0784,0.6269,5.2224,-0.6515,5.676,4.4418,2.3443,6.3855,2.2986,6.8127,3.9526,3.1785,1.7381,-99.99,6.7129,-0.0541,0.4585,2.9192,1.1447,0.8811,3.6576,3.7217,3.268,-99.99
192612,-99.99,6.8938,-99.99,-3.2258,3.9414,3.1018,-3.0395,0.7547,-0.9527,-2.3036,18.01,2.8754,17.3333,-5.2896,-99.99,-0.9964,1.1932,7.1354,-2.3045,6.5609,16.6667,2.2511,-5.3106,9.6696,3.9027,-99.99,1.3215,6.1106,4.284,6.9644,0.5907,4.0606,3.8679,-99.99,-1.3931,3.8978,1.402,1.8169,1.9345,6.6562,2.9035,-0.6403,1.4541,3.17,3.754,-0.866,2.9516,1.7714,1.2813,10.2941,-2.7936,-1.7495,0.1631,8.7147,-2.1708,-2.7576,2.5782,4.568,0.9526,0.8912,3.9645,3.9804,1.5429,0.633,-4.7066,1.2785,2.5153,-2.4093,-2.5967,0.3268,3.7173,3.0304,2.0546,3.9776,1.4935,5.1632,4.1125,5.7698,1.2868,4.918,2.8988,2.3404,1.615,0.8981,3.5285,5.0005,6.7631,3.7019,4.5075,-99.99,0.626,1.9527,8.2181,1.542,0.3626,3.0192,6.7556,3.4321,0.6329,-99.99
192701,-99.99,19.7269,-99.99,-13.3333,-7.0051,-12.4918,13.8715,1.336,-7.2595,5.0303,-0.6128,-2.9429,-26.7442,-3.8446,-99.99,-2.5865,-2.6897,5.3054,3.4778,1.2846,-14.2857,-2.7606,2.1436,-8.6939,0.4501,-99.99,-3.5406,1.2383,0.9949,19.462,2.1567,8.3707,-1.812,-99.99,0.8535,-2.7226,0.9165,-1.0263,16.3633,13.5792,-1.1996,-6.1926,-2.3881,0.3878,-0.9983,-0.0119,4.1058,-1.3991,0.8778,-6.6667,3.3703,-2.9519,-0.895,5.5482,-1.683,-0.457,1.8235,5.1437,5.5692,2.2826,7.393,1.9187,2.3905,4.3731,2.4213,-2.3622,-0.9416,0.1061,5.7291,9.4463,2.6589,1.0288,1.6147,0.187,-0.379,-1.193,-0.5396,2.6342,8.7114,7.5,1.9999,-2.6883,0.8489,-1.2319,0.7756,6.85,0.0756,3.1502,3.2019,-99.99,-2.0243,0.4719,-0.5543,1.236,-2.7189,0.6319,-0.289,6.3764,5.1118,-99.99
192702,-99.99,11.6603,-99.99,15.3846,-3.4712,12.1076,-4.1982,1.2728,7.6656,9.7958,1.1938,3.2335,-19.0476,1.396,-99.99,12.384,-7.0736,11.7472,6.7907,14.1612,0,2.3452,1.3641,11.9488,15.3751,-99.99,4.0868,-3.0495,2.2004,4.0763,2.8241,0.3185,8.3168,-99.99,6.6948,0.8877,3.9327,5.6718,16.5137,10.2689,5.9885,1.2508,6.1244,4.4808,9.4722,4.2224,6.4386,2.9681,7.4314,-1.4286,5.9087,10.6098,3.9551,9.7134,1.9218,4.1637,1.7744,13.9339,15.1573,17.1283,5.0307,-2.0138,6.9882,5.5864,4.4498,0.9303,10.3386,1.0378,10.4549,23.2143,6.3645,6.3761,1.7897,3.7112,0.776,4.6272,6.1458,7.6817,9.3489,7.5581,4.4957,6.9688,5.173,2.3086,1.796,1.1526,13.51,10.7835,4.7506,-99.99,4.1059,0.8746,9.0932,3.1698,4.3508,3.0109,3.1979,3.5088,7.5988,-99.99
192703,-99.99,15.3235,-99.99,46.6667,-6.2271,-17.8667,-9.6264,2.771,-17.3873,-3.4112,6.3237,2.0507,5.8824,-7.5573,-99.99,-5.7133,0.2485,-3.3909,0.3153,-3.8372,-16.6667,-3.5886,-13.0435,4.7482,-0.687,-99.99,-8.9589,-9.6533,4.4571,-1.2926,-5.1629,1.6254,-1.3656,-99.99,-1.053,-6.2755,5.2375,-2.2201,-12.9018,1.9823,7.7622,-3.4075,-4.2256,-1.636,-7.9023,-2.5359,-0.5091,-5.4338,-9.187,-2.1739,-1.3375,2.2938,-2.2232,-8.682,-0.8517,2.9537,1.561,-3.4532,-7.3529,-3.259,6.9413,-4.3319,0.4676,7.3314,5.6383,-0.1307,-1.7368,-2.451,-2.2686,7.7295,-4.2964,-2.3833,-0.8933,-1.36,-3.136,-1.386,0.2487,-2.6598,10.229,6.2162,1.5191,-1.002,0.3472,-6.1937,0.0699,1.7153,-4.5034,-5.5728,-6.5285,-99.99,0.8725,0.1388,5.1636,2.2497,-2.3685,1.7224,2.4403,-1.6949,-1.5537,-99.99
192704,-99.99,8.8583,-99.99,1.1364,-4.6012,-7.1429,-2.7027,8.1921,34.4734,1.0982,7.7298,-3.7288,14.8148,7.8143,-99.99,7.0722,2.9178,3.9016,-0.1223,10.0348,5,-2.3088,-0.7177,-3.4872,-0.2814,-99.99,-3.1571,0.6996,1.2829,5.047,-5.3158,-2.1134,-7.9382,-99.99,-1.3117,2.2253,0.0763,-0.3829,14.0001,2.7355,1.7344,-0.2305,-1.9439,0.313,-0.1832,-4.6662,12.4688,0.6228,4.2199,0,-5.0806,-1.4223,5.14,3.7938,-0.9405,-0.7957,-1.8313,2.3457,10.3464,-7.029,-0.0727,-7.0395,1.263,2.7556,5.5955,-1.2318,3.7698,0.1192,6.7555,-4.0359,0.1037,0.959,5.6546,0.0337,-2.0705,-1.2749,0.0464,-3.7265,11.5169,5.0891,1.6539,1.6559,2.7788,-4.13,1.3825,-2.6298,-2.364,-3.7516,-6.0804,-99.99,5.5661,-1.1282,5.344,-1.4873,-1.9513,1.283,0.3805,-1.1494,-1.4556,-99.99
