date,lty,ltr,corpr,djia
31/1/1955,0.0286,-0.0241,-0.0097,408.83
28/2/1955,0.0292,-0.0078,-0.0063,411.87
31/3/1955,0.0288,0.0087,0.0092,409.7
30/4/1955,0.029,0.0001,-0.0001,425.65
31/5/1955,0.0287,0.0073,-0.0018,424.86
30/6/1955,0.0293,-0.0076,0.0029,451.38
31/7/1955,0.03,-0.0102,-0.0041,465.85
31/8/1955,0.0301,0.0004,-0.0038,468.18
30/9/1955,0.0298,0.0073,0.0076,466.62
31/10/1955,0.0292,0.0144,0.0078,454.87
30/11/1955,0.0295,-0.0045,-0.003,483.26
31/12/1955,0.0295,0.0037,0.0063,488.4
31/1/1956,0.0292,0.0083,0.0104,470.74
29/2/1956,0.0293,-0.0002,0.0026,483.65
31/3/1956,0.0303,-0.0149,-0.0146,511.79
30/4/1956,0.0311,-0.0113,-0.0115,516.12
31/5/1956,0.0299,0.0225,0.0052,478.05
30/6/1956,0.0299,0.0027,-0.0018,492.78
31/7/1956,0.0313,-0.0209,-0.0093,517.81
31/8/1956,0.0325,-0.0187,-0.0208,502.04
30/9/1956,0.0324,0.005,0.0012,475.25
31/10/1956,0.0329,-0.0054,-0.0105,479.85
30/11/1956,0.0333,-0.0057,-0.0126,472.78
31/12/1956,0.0345,-0.0179,-0.0082,499.47
31/1/1957,0.0328,0.0346,0.0197,479.16
28/2/1957,0.0328,0.0025,0.0093,464.62
31/3/1957,0.0331,-0.0024,0.005,474.81
30/4/1957,0.0345,-0.0222,-0.0066,494.36
31/5/1957,0.0348,-0.0023,-0.0075,504.93
30/6/1957,0.0361,-0.018,-0.0322,503.29
31/7/1957,0.0365,-0.0041,-0.011,508.52
31/8/1957,0.0367,0.0002,-0.0009,484.35
30/9/1957,0.0364,0.0076,0.0095,456.3
31/10/1957,0.0369,-0.005,0.0023,441.04
30/11/1957,0.034,0.0533,0.0311,449.87
31/12/1957,0.0323,0.0307,0.0685,435.69
31/1/1958,0.033,-0.0084,0.0099,450.02
28/2/1958,0.0325,0.01,-0.0008,439.92
31/3/1958,0.0321,0.0102,-0.0046,446.76
30/4/1958,0.0311,0.0186,0.0163,455.86
31/5/1958,0.0313,0.0001,0.0031,462.7
30/6/1958,0.0324,-0.016,-0.0038,478.18
31/7/1958,0.0343,-0.0278,-0.0153,502.99
31/8/1958,0.0371,-0.0435,-0.032,508.63
30/9/1958,0.038,-0.0117,-0.0096,532.09
31/10/1958,0.0374,0.0138,0.0107,543.22
30/11/1958,0.0368,0.012,0.0105,557.46
31/12/1958,0.0382,-0.0181,-0.0058,583.65
31/1/1959,0.0408,-0.008,-0.0028,593.96
28/2/1959,0.0402,0.0117,0.0126,603.5
31/3/1959,0.0403,0.0017,-0.0083,601.71
30/4/1959,0.0414,-0.0117,-0.0172,623.75
31/5/1959,0.0417,-0.0005,-0.0114,643.79
30/6/1959,0.0419,0.001,0.0044,643.6
31/7/1959,0.0417,0.006,0.0089,674.88
31/8/1959,0.0423,-0.0041,-0.0068,664.41
30/9/1959,0.0429,-0.0057,-0.0088,631.68
31/10/1959,0.0421,0.015,0.0165,646.6
30/11/1959,0.0432,-0.0119,0.0135,659.18
31/12/1959,0.0447,-0.0159,-0.0096,679.36
31/1/1960,0.0441,0.0112,0.0107,622.62
29/2/1960,0.0429,0.0204,0.0128,630.12
31/3/1960,0.0411,0.0282,0.0191,616.59
30/4/1960,0.0426,-0.017,-0.0022,601.7
31/5/1960,0.0417,0.0152,-0.0021,625.5
30/6/1960,0.0407,0.0173,0.0141,640.62
31/7/1960,0.0382,0.0368,0.0257,616.73
31/8/1960,0.039,-0.0067,0.0117,625.99
30/9/1960,0.0387,0.0075,-0.0063,580.14
31/10/1960,0.0391,-0.0028,0.0008,580.36
30/11/1960,0.0399,-0.0066,-0.007,597.22
31/12/1960,0.038,0.0279,0.0104,615.89
31/1/1961,0.0404,-0.0107,0.0148,648.2
28/2/1961,0.0392,0.02,0.021,662.08
31/3/1961,0.0397,-0.0037,-0.0029,676.63
30/4/1961,0.0391,0.0115,-0.0116,678.71
31/5/1961,0.0397,-0.0046,0.0049,696.72
30/6/1961,0.0404,-0.0075,-0.008,683.96
31/7/1961,0.0404,0.0035,0.004,705.37
31/8/1961,0.041,-0.0038,-0.0018,719.94
30/9/1961,0.0403,0.0129,0.0144,701.21
31/10/1961,0.04,0.0071,0.0127,703.92
30/11/1961,0.0404,-0.002,0.0028,721.6
31/12/1961,0.0415,-0.0125,-0.0026,731.14
