date,eps,dps
31/3/1954,0.66,0.273
30/6/1954,0.7,0.374
30/9/1954,0.61,0.331
31/12/1954,0.8,0.562
31/3/1955,0.85,0.293
30/6/1955,0.96,0.384
30/9/1955,0.83,0.381
31/12/1955,0.98,0.582
31/3/1956,0.92,0.383
30/6/1956,0.87,0.454
30/9/1956,0.69,0.421
31/12/1956,0.93,0.482
31/3/1957,0.91,0.373
30/6/1957,0.89,0.454
30/9/1957,0.74,0.451
31/12/1957,0.83,0.512
31/3/1958,0.68,0.353
30/6/1958,0.68,0.414
30/9/1958,0.69,0.451
31/12/1958,0.84,0.532
31/3/1959,0.9,0.373
30/6/1959,0.97,0.434
30/9/1959,0.72,0.471
31/12/1959,0.8,0.552
31/3/1960,0.9,0.483
30/6/1960,0.84,0.444
30/9/1960,0.73,0.471
31/12/1960,0.8,0.552
31/3/1961,0.72,0.473
30/6/1961,0.78,0.444
30/9/1961,0.75,0.491
31/12/1961,0.94,0.612
31/3/1962,0.9,0.493
30/6/1962,0.88,0.464
30/9/1962,0.81,0.511
31/12/1962,1.08,0.662
31/3/1963,0.94,0.513
30/6/1963,1.01,0.514
30/9/1963,0.93,0.521
31/12/1963,1.14,0.732
31/3/1964,1.1,0.563
30/6/1964,1.16,0.564
30/9/1964,1.07,0.581
31/12/1964,1.22,0.792
31/3/1965,1.23,0.613
30/6/1965,1.32,0.624
30/9/1965,1.21,0.631
31/12/1965,1.43,0.852
31/3/1966,1.38,0.673
30/6/1966,1.44,0.674
30/9/1966,1.26,0.691
31/12/1966,1.47,0.832
31/3/1967,1.28,0.703
30/6/1967,1.32,0.674
30/9/1967,1.23,0.711
31/12/1967,1.5,0.832
31/3/1968,1.39,0.733
30/6/1968,1.45,0.714
30/9/1968,1.32,0.751
31/12/1968,1.6,0.872
31/3/1969,1.45,0.763
30/6/1969,1.47,0.744
30/9/1969,1.37,0.771
31/12/1969,1.49,0.882
31/3/1970,1.3,0.773
30/6/1970,1.36,0.754
30/9/1970,1.21,0.781
31/12/1970,1.26,0.832
31/3/1971,1.39,0.743
30/6/1971,1.46,0.744
30/9/1971,1.32,0.771
31/12/1971,1.53,0.812
31/3/1972,1.5,0.743
30/6/1972,1.62,0.744
30/9/1972,1.49,0.781
31/12/1972,1.81,0.882
31/3/1973,1.88,0.763
30/6/1973,2.05,0.794
30/9/1973,1.95,0.831
31/12/1973,2.28,0.992
31/3/1974,2.08,0.823
30/6/1974,2.43,0.854
30/9/1974,2.32,0.921
31/12/1974,2.06,1.002
31/3/1975,1.64,0.893
30/6/1975,1.94,0.894
30/9/1975,2.12,0.921
